Genero,Region,Campus,Escuela,Programa_Ini,PrepaTEC,PAA,PNA,P_Beca,P_Prestamo,Life,PI,Experiencia,TOEFL,Promedio_Gr,Sueldo_Real
Masculino,RO,GDL,EIC,IIS,SI,1487.0,90.0,0.0,0.0,No,SI,Sí,600.0,87115.0,24000.0
Femenino,RO,LEO,EN,LIN,SI,1487.0,86.0,0.9,0.0,Si,SI,Sí,570.0,89824.0,17000.0
Femenino,RO,LEO,EN,LIN,NO,1467.0,87.0,0.25,0.25,Si,SI,Sí,603.0,94087.0,15000.0
Femenino,RO,LEO,EN,LAE,SI,1374.0,92.0,0.0,0.0,Si,SI,Sí,607.0,95232.0,11900.0
Masculino,RCS,QRO,EIC,IC,SI,1487.0,90.0,0.15,0.15,No,NO,Sí,550.0,91327.0,14000.0
Femenino,RO,LEO,EAAD,LDI,SI,1523.0,96.0,0.6,0.0,No,SI,Sí,623.0,96125.0,12000.0
Masculino,RO,LEO,EN,LAF,SI,1535.0,98.0,0.8,0.0,Si,SI,Sí,640.0,97.37,60000.0
Femenino,RCS,QRO,EIC,IC,SI,1487.0,86.0,0.0,0.0,No,NO,Sí,567.0,90.19,44000.0
Femenino,RO,LEO,EN,LAF,SI,1487.0,89.0,0.25,0.25,Si,SI,Sí,597.0,95625.0,14000.0
Masculino,RM,MTY,EIC,INT,SI,1487.0,85.0,0.0,0.0,Si,SI,Sí,613.0,86916.0,21000.0
Femenino,RCS,QRO,EN,LAE,SI,1487.0,83.0,0.15,0.15,Si,NO,No,550.0,91754.0,22000.0
Masculino,RO,LEO,EIC,IIS,NO,1275.0,85.0,0.0,0.0,Si,SI,Sí,520.0,77275.0,4500.0
Masculino,RO,LEO,EN,LAE,NO,1403.0,80.0,0.0,0.0,No,NO,Sí,607.0,80031.0,24000.0
Masculino,RO,LEO,EIC,IMT,NO,1500.0,100.0,0.7,0.0,Si,SI,Sí,560.0,97306.0,0.0
Masculino,RO,LEO,EN,LAF,NO,1351.0,77.0,0.0,0.0,Si,SI,No respuesta,567.0,76942.0,25000.0
Masculino,RM,MTY,EIC,IQA,NO,1431.0,85.0,0.4,0.4,Si,NO,Sí,550.0,92307.0,30000.0
Masculino,RO,LEO,EIC,IIS,NO,1245.0,78.0,0.0,0.0,No,SI,Sí,550.0,82041.0,12000.0
Masculino,RM,MTY,EN,LAE,NO,1256.0,77.0,0.0,0.0,No,SI,Sí,550.0,84301.0,14000.0
Femenino,RO,LEO,EN,LAF,NO,1449.0,90.0,0.0,0.0,No,SI,No,550.0,90948.0,7000.0
Masculino,RO,LEO,EIC,IMT,NO,1380.0,82.0,0.0,0.0,Si,SI,No,573.0,89354.0,0.0
Femenino,RO,LEO,EIC,IIS,NO,1561.0,92.0,0.8,0.0,Si,SI,Sí,623.0,93.35,16500.0
Femenino,RO,LEO,EIC,IIS,NO,1529.0,93.0,0.7,0.0,No,SI,Sí,643.0,93316.0,30000.0
Femenino,RO,LEO,EIC,IIS,NO,1487.0,90.0,0.6,0.0,Si,NO,Sí,550.0,93426.0,27500.0
Masculino,RO,LEO,EN,LAE,NO,1307.0,90.0,0.45,0.25,Si,NO,Sí,607.0,92903.0,23000.0
Femenino,RO,GDL,EN,LAF,NO,1399.0,85.0,0.0,0.0,No,SI,No,597.0,92464.0,15000.0
Femenino,RO,LEO,EN,LAF,NO,1359.0,88.0,0.0,0.0,No,SI,Sí,603.0,91803.0,12000.0
Femenino,RO,LEO,EN,LAE,NO,1257.0,81.0,0.2,0.2,No,SI,Sí,550.0,89948.0,8000.0
Femenino,RO,LEO,EN,LAF,NO,1354.0,81.0,0.25,0.25,No,SI,No,607.0,95051.0,11000.0
Femenino,RO,CHI,EAAD,LDI,SI,1487.0,74.0,0.0,0.0,No,NO,No respuesta,550.0,74371.0,16000.0
Femenino,RO,CHI,EN,LDN,SI,1487.0,75.0,0.9,0.0,No,NO,Sí,550.0,83444.0,20000.0
Masculino,RO,CHI,EIC,IC,SI,1487.0,90.0,0.0,0.0,No,NO,No,550.0,80028.0,17650.0
Femenino,RO,CHI,EAAD,ARQ,SI,1305.0,94.0,0.5,0.0,Si,SI,Sí,580.0,96603.0,10000.0
Femenino,RCM,CSF,EN,LAF,SI,1487.0,90.0,0.0,0.0,Si,SI,No,550.0,80619.0,25000.0
Femenino,RO,CHI,EN,LAF,SI,1487.0,83.0,0.0,0.0,No,SI,Sí,547.0,85163.0,0.0
Masculino,RO,CHI,EAAD,ARQ,SI,1487.0,87.0,0.2,0.0,Si,SI,Sí,573.0,94186.0,14000.0
Femenino,RO,CHI,EAAD,ARQ,SI,1487.0,84.0,0.3,0.3,Si,SI,Sí,553.0,91786.0,10000.0
Femenino,RO,CHI,EN,LDN,SI,1487.0,78.0,0.0,0.0,No,SI,Sí,540.0,82791.0,30000.0
Femenino,RO,CHI,EN,LMC,SI,1487.0,90.0,0.3,0.3,No,NO,Sí,610.0,77298.0,13000.0
Femenino,RO,CHI,EAAD,ARQ,SI,1487.0,83.0,0.0,0.0,Si,SI,Sí,573.0,89147.0,8000.0
Masculino,RM,MTY,ECSG,LEC,NO,1487.0,90.0,0.0,0.0,No,NO,Sí,620.0,80777.0,111343.0
Masculino,RM,MTY,EIC,IIS,NO,1237.0,84.0,0.0,0.0,Si,NO,Sí,550.0,79513.0,14000.0
Femenino,RM,MTY,EAAD,LDI,NO,1487.0,86.0,0.0,0.0,Si,SI,Sí,550.0,87968.0,14000.0
Masculino,RM,MTY,EHE,IMI,NO,1487.0,85.0,0.0,0.0,No,NO,Sí,610.0,84762.0,16000.0
Masculino,RM,MTY,EIC,ITC,NO,1522.0,97.0,0.3,0.25,Si,NO,Sí,643.0,87783.0,25000.0
Masculino,RM,MTY,EIC,IME,NO,1494.0,93.0,0.0,0.0,No,SI,Sí,550.0,78189.0,30000.0
Masculino,RM,MTY,EIC,IMT,NO,1379.0,94.0,0.0,0.0,No,SI,Sí,637.0,79126.0,0.0
Masculino,RM,MTY,EIC,IMA,NO,1326.0,87.0,0.0,0.0,No,NO,Sí,619.0,78802.0,7000.0
Masculino,RM,MTY,EIC,IMA,NO,1379.0,95.0,0.0,0.3,No,NO,Sí,547.0,79895.0,22000.0
Masculino,RM,MTY,EIC,ITC,NO,1385.0,90.0,0.15,0.35,Si,NO,Sí,550.0,85758.0,30000.0
Masculino,RM,MTY,EN,LCPF,NO,1510.0,83.0,0.0,0.0,No,SI,Sí,567.0,75328.0,20400.0
Masculino,RM,MTY,EIC,INT,NO,1191.0,84.0,0.0,0.0,No,NO,Sí,540.0,82781.0,30000.0
Femenino,RM,MTY,EIC,IBT,NO,1438.0,97.0,0.15,0.15,No,NO,Sí,550.0,89492.0,23000.0
Masculino,RM,MTY,EIC,INT,NO,1487.0,90.0,0.0,0.0,Si,SI,Sí,580.0,87806.0,21000.0
Masculino,RM,MTY,EIC,IMT,NO,1389.0,86.0,0.2,0.2,No,NO,Sí,550.0,88.19,23000.0
Masculino,RM,MTY,EIC,IC,NO,1391.0,89.0,0.15,0.15,No,SI,Sí,593.0,86064.0,12000.0
Masculino,RM,MTY,EIC,ITC,NO,1256.0,92.0,0.0,0.2,No,SI,Sí,580.0,86548.0,20000.0
Masculino,RM,MTY,EAAD,ARQ,NO,1480.0,94.0,0.5,0.0,No,SI,Sí,660.0,92714.0,15000.0
Masculino,RM,MTY,EIC,IDS,NO,1416.0,93.0,0.0,0.0,Si,SI,Sí,600.0,88701.0,1500.0
Femenino,RM,MTY,EIC,IQA,NO,1448.0,97.0,0.0,0.0,No,SI,Sí,657.0,91753.0,0.0
Femenino,RM,MTY,ECSG,LRI,NO,1279.0,97.0,0.15,0.15,No,SI,Sí,620.0,90758.0,25000.0
Femenino,RM,MTY,EIC,IDS,NO,1457.0,93.0,0.0,0.0,Si,SI,Sí,603.0,85.14,15000.0
Masculino,RM,MTY,EIC,IIS,NO,1311.0,90.0,0.0,0.0,Si,SI,Sí,570.0,81159.0,0.0
Masculino,RM,MTY,EIC,IMT,NO,1466.0,99.0,0.0,0.0,Si,NO,Sí,600.0,80507.0,17198.0
Femenino,RM,MTY,EAAD,ARQ,NO,1359.0,97.0,0.0,0.2,No,NO,Sí,550.0,83269.0,7000.0
Masculino,RM,MTY,EIC,IC,NO,1487.0,90.0,0.0,0.0,No,SI,Sí,600.0,93.13,30000.0
Masculino,RM,MTY,EIC,IDS,NO,1459.0,91.0,0.0,0.25,No,NO,Sí,600.0,85147.0,42000.0
Masculino,RM,MTY,EIC,IBT,NO,1487.0,90.0,0.0,0.0,No,SI,Sí,613.0,81628.0,6000.0
Masculino,RM,MTY,EIC,IME,NO,1421.0,95.0,0.1,0.1,Si,SI,Sí,617.0,94411.0,25000.0
Masculino,RM,MTY,EIC,IMA,NO,1322.0,80.0,0.0,0.0,No,NO,Sí,550.0,83984.0,30000.0
Masculino,RM,MTY,EIC,IID,NO,1487.0,90.0,0.0,0.0,Si,NO,Sí,550.0,84843.0,22000.0
Femenino,RM,MTY,EAAD,ARQ,NO,1435.0,89.0,0.25,0.25,Si,SI,Sí,550.0,86475.0,16200.0
Femenino,RM,MTY,EIC,IIS,NO,1417.0,93.0,0.1,0.1,No,SI,No,600.0,87705.0,0.0
Femenino,RM,MTY,EN,LIN,NO,1459.0,96.0,0.1,0.1,No,SI,Sí,600.0,95676.0,17000.0
Masculino,RM,MTY,EN,LIN,NO,1487.0,90.0,0.0,0.0,No,SI,Sí,550.0,79338.0,149000.0
Masculino,RO,LEO,EIC,IIS,NO,1331.0,80.0,0.0,0.0,No,SI,No,550.0,84984.0,20000.0
Femenino,RM,MTY,EAAD,ARQ,NO,1259.0,89.0,0.0,0.0,Si,SI,Sí,550.0,88409.0,13000.0
Masculino,RM,MTY,EIC,IMT,NO,1224.0,88.0,0.2,0.2,No,SI,Sí,550.0,89176.0,23000.0
Masculino,RM,MTY,EIC,IQA,NO,1252.0,81.0,0.0,0.0,No,SI,Sí,617.0,82.87,22000.0
Masculino,RM,MTY,EIC,IDA,NO,1415.0,93.0,0.2,0.0,Si,SI,Sí,583.0,92827.0,23656.0
Masculino,RM,MTY,EIC,ITC,NO,1316.0,92.0,0.0,0.0,Si,SI,Sí,550.0,84419.0,18000.0
Masculino,RM,MTY,EIC,IIS,NO,1310.0,85.0,0.0,0.4,Si,SI,Sí,550.0,87676.0,0.0
Masculino,RM,MTY,EIC,IIS,NO,1334.0,85.0,0.0,0.0,Si,NO,No,570.0,84887.0,5800.0
Masculino,RM,MTY,ECSG,LRI,NO,1432.0,98.0,0.2,0.0,Si,SI,Sí,550.0,91.31,17000.0
Masculino,RM,MTY,EIC,IIS,NO,1323.0,85.0,0.0,0.0,No,SI,Sí,550.0,86552.0,23500.0
Masculino,RM,MTY,EIC,INT,NO,1236.0,82.0,0.0,0.0,No,NO,Sí,550.0,84734.0,14000.0
Masculino,RM,MTY,EIC,ITC,NO,1316.0,92.0,0.25,0.25,No,SI,Sí,550.0,91.98,17000.0
Femenino,RM,MTY,EIC,IIS,NO,1411.0,87.0,0.0,0.0,No,SI,Sí,550.0,83492.0,30150.0
Femenino,RM,MTY,EIC,IQA,NO,1180.0,93.0,0.0,0.3,Si,SI,Sí,550.0,85791.0,0.0
Masculino,RM,MTY,EIC,IMT,NO,1361.0,77.0,0.0,0.0,No,NO,Sí,550.0,85123.0,22000.0
Masculino,RM,MTY,ECSG,LED,NO,1352.0,88.0,0.0,0.0,No,SI,Sí,633.0,86636.0,8000.0
Masculino,RM,MTY,EIC,IID,NO,1446.0,88.0,0.0,0.0,No,NO,Sí,670.0,85105.0,48000.0
Masculino,RM,MTY,ECSG,LEC,NO,1401.0,86.0,0.0,0.0,No,NO,Sí,550.0,80906.0,25000.0
Masculino,RM,MTY,EN,LAE,NO,1332.0,87.0,0.3,0.4,Si,NO,Sí,550.0,90881.0,17500.0
Femenino,RM,MTY,EIC,IQA,NO,1352.0,90.0,0.0,0.0,No,SI,Sí,600.0,88735.0,27000.0
Masculino,RM,MTY,EN,LAF,NO,1438.0,90.0,0.0,0.0,Si,SI,Sí,600.0,91861.0,45000.0
Masculino,RM,MTY,EIC,ISD,NO,1430.0,91.0,0.0,0.0,No,SI,Sí,640.0,91901.0,26000.0
Femenino,RCM,CEM,EN,LIN,NO,1487.0,90.0,0.25,0.35,Si,NO,Sí,550.0,89701.0,24000.0
Masculino,RM,MTY,EIC,IC,NO,1322.0,81.0,0.0,0.0,No,NO,Sí,550.0,81594.0,18000.0
Femenino,RM,MTY,EIC,INT,NO,1403.0,93.0,0.35,0.25,No,NO,Sí,550.0,88137.0,18000.0
Masculino,RM,MTY,EIC,IDS,NO,1507.0,98.0,0.5,0.0,Si,NO,Sí,550.0,92288.0,13000.0
Femenino,RM,MTY,EIC,IMT,NO,1331.0,94.0,0.15,0.15,Si,SI,Sí,557.0,90919.0,21000.0
Masculino,RM,MTY,ECSG,LEC,NO,1476.0,98.0,1.0,0.0,Si,SI,Sí,560.0,92.62,24000.0
Femenino,RM,MTY,EN,LCDE,NO,1447.0,96.0,0.0,0.0,No,SI,No,550.0,97178.0,10500.0
Femenino,RM,MTY,EN,LPO,NO,1496.0,97.0,0.5,0.0,Si,SI,Sí,600.0,95627.0,20600.0
Femenino,RM,MTY,EIC,IIS,NO,1496.0,100.0,0.5,0.0,Si,NO,Sí,600.0,97465.0,16000.0
Femenino,RM,MTY,EN,LIN,NO,1328.0,88.0,0.0,0.0,No,SI,Sí,627.0,88892.0,21500.0
Masculino,RM,MTY,EIC,IMA,NO,1420.0,86.0,0.0,0.0,No,NO,Sí,564.0,87137.0,19320.0
Femenino,RM,MTY,EN,LCPF,NO,1572.0,99.0,0.8,0.0,Si,SI,Sí,677.0,98.5,23500.0
Femenino,RM,MTY,EIC,IDA,NO,1348.0,97.0,0.0,0.0,No,NO,Sí,603.0,89483.0,25000.0
Femenino,RCS,PUE,EIC,ITC,NO,1487.0,90.0,0.2,0.2,Si,NO,Sí,550.0,88593.0,37000.0
Masculino,RM,MTY,EIC,IMD,NO,1432.0,98.0,0.1,0.1,Si,NO,Sí,590.0,93813.0,12000.0
Masculino,RM,MTY,EN,LAF,NO,1502.0,86.0,0.0,0.0,No,SI,Sí,663.0,89333.0,27000.0
Masculino,RM,MTY,ECSG,LED,NO,1260.0,89.0,0.0,0.0,No,SI,Sí,550.0,92.29,13500.0
Femenino,RCS,QRO,EN,LAE,NO,1428.0,90.0,0.0,0.0,Si,SI,No,600.0,89932.0,12000.0
Masculino,RM,MTY,EN,LAF,NO,1343.0,92.0,0.0,0.1,No,SI,Sí,613.0,89517.0,28000.0
Femenino,RM,MTY,EN,LCDE,NO,1412.0,98.0,0.35,0.35,Si,NO,Sí,550.0,95375.0,15000.0
Femenino,RM,MTY,EIC,INT,NO,1270.0,91.0,0.0,0.0,No,SI,Sí,570.0,89.1,11500.0
Femenino,RM,MTY,EN,LEM,NO,1266.0,86.0,0.0,0.0,Si,SI,Sí,597.0,86745.0,18000.0
Femenino,RM,MTY,EIC,IIS,NO,1371.0,97.0,0.35,0.35,No,SI,Sí,567.0,95698.0,23500.0
Masculino,RM,MTY,EN,LEM,NO,1355.0,89.0,0.0,0.0,Si,NO,Sí,550.0,88771.0,18000.0
Masculino,RM,MTY,EIC,ITC,NO,1471.0,93.0,0.5,0.25,No,NO,Sí,550.0,92087.0,0.0
Femenino,RM,MTY,EN,LPO,NO,1150.0,86.0,0.0,0.0,No,SI,Sí,610.0,87789.0,20000.0
Masculino,RM,MTY,EN,LAE,NO,1509.0,97.0,0.5,0.1,No,NO,Sí,550.0,95642.0,22000.0
Femenino,RM,MTY,ECSG,LDF,NO,1334.0,95.0,0.0,0.0,No,SI,Sí,653.0,90824.0,25000.0
Masculino,RM,MTY,EIC,ITC,NO,1438.0,95.0,0.0,0.0,No,NO,Sí,550.0,87379.0,20000.0
Masculino,RM,MTY,EN,LAF,NO,1487.0,97.0,0.5,0.2,Si,SI,Sí,653.0,98446.0,51500.0
Masculino,RM,MTY,EIC,IFI,NO,1515.0,95.0,0.5,0.2,Si,SI,Sí,600.0,94424.0,27500.0
Masculino,RM,MTY,EIC,IIS,NO,1487.0,90.0,0.0,0.2,Si,NO,Sí,550.0,85.0,25000.0
Femenino,RM,MTY,EN,LCPF,NO,1314.0,96.0,0.0,0.0,Si,SI,Sí,550.0,90482.0,15000.0
Femenino,RM,MTY,EIC,IQA,NO,1538.0,99.0,0.6,0.0,Si,SI,Sí,677.0,97803.0,25000.0
Masculino,RM,MTY,EIC,IME,NO,1376.0,96.0,0.15,0.15,Si,SI,Sí,553.0,93444.0,33000.0
Femenino,RM,MTY,EN,LPO,NO,1350.0,88.0,0.8,0.0,Si,SI,Sí,550.0,90896.0,20500.0
Femenino,RM,MTY,EN,LAE,NO,1487.0,90.0,0.0,0.0,No,SI,Sí,550.0,88894.0,16000.0
Masculino,RM,MTY,EIC,IMA,NO,1354.0,94.0,0.0,0.0,No,SI,Sí,583.0,86459.0,16000.0
Femenino,RCS,TAM,EIC,IIS,NO,1406.0,83.0,0.0,0.0,Si,NO,Sí,623.0,85.73,12000.0
Masculino,RM,MTY,EIC,ISD,NO,1475.0,91.0,0.5,0.3,Si,NO,Sí,550.0,96824.0,25500.0
Masculino,RM,MTY,EN,LCPF,NO,1301.0,91.0,0.25,0.25,No,NO,Sí,577.0,92535.0,22000.0
Masculino,RM,MTY,EIC,IID,NO,1400.0,94.0,0.0,0.0,Si,SI,Sí,550.0,86892.0,60000.0
Femenino,RM,MTY,EN,LIN,NO,1174.0,97.0,0.0,0.0,No,SI,Sí,630.0,91625.0,20000.0
Masculino,RM,MTY,EIC,IC,NO,1270.0,88.0,0.15,0.0,No,SI,Sí,630.0,88967.0,10000.0
Masculino,RM,MTY,EIC,IMT,NO,1428.0,88.0,0.8,0.0,No,SI,Sí,656.0,92.59,80000.0
Masculino,RM,MTY,EN,LCPF,NO,1341.0,84.0,0.0,0.0,Si,SI,Sí,550.0,87862.0,14000.0
Femenino,RM,MTY,EN,LEM,NO,1450.0,92.0,0.0,0.0,No,NO,Sí,653.0,94446.0,20000.0
Masculino,RCM,CCM,EIC,IMT,NO,1294.0,84.0,0.0,0.0,Si,NO,Sí,643.0,85645.0,25000.0
Masculino,RM,MTY,EIC,IC,NO,1350.0,89.0,0.15,0.0,No,SI,No,600.0,87387.0,16000.0
Femenino,RM,MTY,EIC,IIS,NO,1479.0,97.0,0.2,0.0,Si,SI,Sí,600.0,93786.0,125000.0
Masculino,RM,MTY,EIC,IIS,NO,1416.0,93.0,0.25,0.25,No,NO,Sí,550.0,90098.0,18000.0
Masculino,RM,MTY,EIC,IC,NO,1324.0,87.0,0.0,0.0,Si,NO,Sí,600.0,85238.0,15000.0
Femenino,RM,MTY,ECSG,LRI,NO,1340.0,88.0,0.0,0.25,No,SI,Sí,663.0,89543.0,26000.0
Masculino,RM,MTY,EN,LAF,NO,1176.0,88.0,0.0,0.0,No,NO,Sí,600.0,83305.0,18560.0
Masculino,RM,MTY,EN,LCPF,NO,1322.0,85.0,0.0,0.0,No,NO,No,550.0,92857.0,20000.0
Masculino,RM,MTY,EIC,INCQ,NO,1515.0,94.0,0.4,0.3,No,NO,Sí,550.0,91685.0,16400.0
Femenino,RM,MTY,EN,LIN,NO,1560.0,92.0,0.5,0.0,Si,NO,Sí,590.0,92032.0,15000.0
Masculino,RM,MTY,ECSG,LEC,NO,1343.0,100.0,0.8,0.2,Si,SI,Sí,573.0,94535.0,25000.0
Masculino,RM,MTY,EIC,ISD,NO,1453.0,84.0,0.15,0.0,No,SI,Sí,633.0,90209.0,23656.0
Masculino,RM,MTY,EIC,IQA,NO,1465.0,94.0,0.0,0.25,No,SI,Sí,600.0,89639.0,9000.0
Femenino,RM,MTY,EN,LAF,NO,1388.0,86.0,0.0,0.0,No,NO,Sí,620.0,92555.0,25000.0
Masculino,RM,MTY,EIC,ITC,NO,1380.0,85.0,0.4,0.0,No,NO,Sí,550.0,89946.0,16008.0
Femenino,RM,MTY,EIC,IIS,NO,1445.0,98.0,0.2,0.0,Si,SI,Sí,550.0,90.1,15971.0
Masculino,RM,MTY,EN,LAE,NO,1487.0,90.0,0.1,0.1,Si,SI,Sí,550.0,92631.0,0.0
Femenino,RM,MTY,EHE,LMI,NO,1279.0,90.0,0.55,0.25,Si,SI,Sí,550.0,91426.0,6000.0
Masculino,RM,MTY,ECSG,LEC,NO,1350.0,92.0,0.0,0.0,No,SI,Sí,643.0,91574.0,37000.0
Masculino,RO,CHI,EN,LCDE,NO,1241.0,94.0,0.9,0.0,Si,NO,No,550.0,83737.0,22000.0
Masculino,RM,MTY,EIC,INT,NO,1487.0,90.0,0.0,0.0,Si,SI,Sí,567.0,89101.0,24000.0
Masculino,RM,LAG,EN,LIN,SI,1409.0,84.0,0.25,0.25,Si,NO,Sí,550.0,88561.0,15000.0
Masculino,RO,HER,EIC,IMT,SI,1500.0,94.0,0.4,0.4,Si,SI,Sí,653.0,91407.0,31666.0
Masculino,RO,GDL,EIC,ISC,NO,1425.0,84.0,0.0,0.0,No,NO,Sí,600.0,84812.0,39000.0
Femenino,RO,HER,EIC,IIS,SI,1529.0,92.0,0.6,0.0,Si,SI,Sí,610.0,94816.0,37000.0
Masculino,RM,MTY,EIC,INCQ,SI,1500.0,90.0,0.0,0.0,Si,SI,Sí,600.0,90055.0,21000.0
