Foraneo,FGS,Rubrica_CyE,PromMate,Ingles,FTE,P_Beca,P_Prestamo,Retencion1erA,Prom1erSem,Prom2doSem,Prom1erA,Escuela_0,Escuela_1,Genero_Femenino,HijoMilitar_NO,HijoMilitar_SI,Prog_Lider_NO,Prog_Lider_SI
Local,No,0.0,90.0,7,1.0,0.2,0.0,1,88.0,96.0,93.36363636,0,1,1,1,0,1,0
Local,No,0.0,81.5,4,1.0,0.6,0.2,1,77.42857143,86.66666667,84.22222222,1,0,1,1,0,1,0
Local,No,0.0,86.0,7,1.0,0.9,0.0,1,93.1,95.9,94.83333333,0,1,1,1,0,1,0
Local,Sí,0.0,82.0,7,1.0,0.0,0.0,1,88.8,91.6,90.22222222,0,1,1,1,0,1,0
Local,No,0.0,83.0,7,1.0,0.1,0.1,1,91.875,88.55555556,90.55555556,1,0,1,1,0,1,0
Local,No,0.0,82.5,7,1.0,0.45,0.25,1,91.75,93.0,93.58333333,0,1,1,1,0,1,0
Local,No,0.0,98.0,7,0.958333333,0.6,0.2,1,95.42857143,95.0,94.86111111,1,0,1,1,0,1,0
Local,No,0.0,95.0,7,1.0,0.6,0.0,1,95.0,99.2,97.5,0,1,1,1,0,1,0
Local,No,0.0,77.5,7,1.0,0.35,0.25,1,93.7,97.6,96.08333333,0,1,1,1,0,1,0
Local,No,0.0,85.5,7,1.0,0.0,0.0,1,86.25,91.0,89.25,0,1,1,1,0,1,0
Local,Sí,0.0,72.5,7,0.916666667,0.0,0.0,1,91.2,91.9,90.86111111,0,1,1,1,0,1,0
SI: Nacional,Sin información,0.0,78.0,7,1.0,0.0,0.0,1,84.33333333,49.14285714,66.54545455,0,1,1,1,0,1,0
Local,No,0.0,74.0,7,1.0,0.4,0.0,1,90.5,90.6,92.0,0,1,1,1,0,1,0
Local,Sin información,0.0,72.5,7,1.0,0.0,0.0,1,88.1,89.4,88.86111111,0,1,1,1,0,1,0
Local,Sí,0.0,85.5,7,1.0,0.35,0.25,1,85.85714286,92.22222222,90.02777778,1,0,1,1,0,1,0
Local,No,0.0,88.0,4,1.0,0.0,0.0,1,78.57142857,86.11111111,83.58333333,1,0,1,1,0,1,0
Local,No,0.0,80.5,7,1.0,0.2,0.0,1,79.125,85.88888889,81.55263158,1,0,1,1,0,1,0
Local,No,0.0,85.0,7,1.0,0.2,0.0,1,94.8,97.5,96.63888889,0,1,1,1,0,1,0
Local,No,0.0,81.0,7,0.666666667,0.0,0.0,0,91.66666667,90.0,91.36363636,0,1,1,1,0,1,0
Local,No,0.0,74.0,4,1.0,0.0,0.0,1,88.6,89.5,88.80555556,0,1,1,1,0,1,0
SI: Nacional,No,0.0,71.5,7,1.0,0.0,0.0,1,1.0,0.0,0.0,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.0,0.0,0,73.6,0.0,74.81818182,1,0,1,1,0,1,0
Local,No,0.0,88.5,7,1.0,0.35,0.0,1,84.14285714,87.55555556,87.86111111,1,0,1,1,0,1,0
Local,No,0.0,81.0,7,1.0,0.25,0.25,1,93.5,94.1,93.5,0,1,1,1,0,1,0
Local,No,0.0,94.0,7,1.0,0.5,0.0,1,90.0,98.2,96.58333333,0,1,1,1,0,1,0
Local,No,0.0,90.0,7,1.0,0.35,0.25,1,86.25,93.66666667,90.80555556,1,0,1,1,0,1,0
SI: Nacional,No,0.0,74.0,7,1.0,0.0,0.0,1,90.33333333,87.25,90.91666667,0,1,1,1,0,1,0
Local,No,0.0,91.0,4,1.0,0.15,0.15,1,96.1,99.1,98.08333333,0,1,1,1,0,1,0
Local,No,0.0,100.0,7,1.0,0.4,0.2,1,98.3,99.5,99.0,0,1,1,1,0,1,0
Local,No,0.0,88.0,7,1.0,0.0,0.0,1,90.4,93.4,92.22222222,0,1,1,1,0,1,0
Local,No,50.0,83.5,5,1.0,0.0,0.0,1,92.1,91.8,92.97222222,0,1,1,1,0,1,0
Local,No,0.0,86.5,7,1.0,0.25,0.25,1,91.7,95.7,93.94444444,0,1,1,1,0,1,0
Local,No,0.0,91.0,4,1.0,0.35,0.25,1,96.5,97.2,97.66666667,0,1,1,1,0,1,0
SI: Nacional,No,0.0,82.5,7,1.0,0.0,0.0,1,90.0,97.0,93.5,0,1,1,1,0,1,0
Local,No,0.0,81.0,7,1.0,0.3,0.2,1,92.75,98.8,96.33333333,0,1,1,1,0,1,0
Local,No,0.0,89.5,7,1.0,0.55,0.0,1,96.1,98.7,98.05555556,0,1,1,1,0,1,0
Local,Sí,0.0,97.5,7,1.0,0.45,0.25,0,92.5,0.0,92.33333333,1,0,1,1,0,1,0
Local,No,0.0,82.0,7,0.770833333,0.0,0.0,1,88.0,91.5,89.2,1,0,1,1,0,1,0
SI: Nacional,No,46.0,82.74521609790698,6,1.0,0.5,0.0,1,94.3,97.3,95.88888889,0,1,1,1,0,1,0
Local,No,0.0,86.5,7,0.270833333,0.0,0.0,1,89.33333333,93.66666667,93.5,0,1,1,1,0,1,0
Local,No,0.0,87.5,7,1.0,0.0,0.0,1,95.5,97.8,97.16666667,0,1,1,1,0,1,0
Local,No,0.0,74.0,4,0.666666667,0.0,0.25,1,89.875,96.5,93.0,0,1,1,1,0,1,0
Local,No,0.0,80.0,7,1.0,0.0,0.25,1,91.5,96.7,94.22222222,0,1,1,1,0,1,0
Local,No,0.0,70.0,7,1.0,0.5,0.0,1,69.0,76.22222222,72.97435897,1,0,1,1,0,1,0
SI: Nacional,No,0.0,98.0,7,1.0,0.0,0.0,1,99.14285714,98.0,98.33333333,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.4,0.0,1,93.9,96.6,95.91666667,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,92.4,96.6,95.94444444,0,1,1,1,0,1,0
Local,No,35.0,82.74521609790698,6,1.0,0.0,0.0,0,83.66666667,0.0,86.0,1,0,1,1,0,1,0
Local,Sí,0.0,80.0,7,1.0,0.0,0.0,1,88.9,94.6,91.63888889,0,1,1,1,0,1,0
Local,No,0.0,77.5,7,1.0,0.0,0.0,1,85.71428571,88.55555556,87.77777778,1,0,1,1,0,1,0
Local,No,50.0,82.74521609790698,5,1.0,0.0,0.0,0,86.2,94.3,91.63888889,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,5,1.0,0.0,0.0,1,95.8,97.0,97.16666667,0,1,1,1,0,1,0
Local,No,36.0,82.74521609790698,6,1.0,0.0,0.0,0,93.0,0.0,93.0,0,1,1,1,0,1,0
Local,No,42.0,82.74521609790698,6,1.0,0.4,0.2,1,88.5,93.25,91.0,1,0,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.4,0.0,1,89.25,96.45454545,92.75675676,1,0,1,1,0,1,0
Local,No,32.0,82.74521609790698,6,1.0,0.0,0.0,1,93.9,96.0,94.22580645,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,92.7,95.5,94.61111111,0,1,1,1,0,1,0
Local,Sí,30.0,82.74521609790698,6,1.0,0.0,0.0,1,93.1,96.8,95.80555556,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.4,0.0,1,88.57142857,92.88888889,90.36111111,1,0,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.3,0.2,1,88.28571429,92.11111111,90.13888889,1,0,1,1,0,1,0
Local,No,36.0,82.74521609790698,3,1.0,0.25,0.25,1,90.5,96.9,94.55555556,0,1,1,1,0,1,0
Local,Sí,50.0,82.74521609790698,6,1.0,0.0,0.0,1,94.6,99.0,97.38888889,0,1,1,1,0,1,0
Local,Sí,50.0,82.74521609790698,6,1.0,0.4,0.0,1,93.5,91.9,92.83333333,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.45,0.25,1,89.75,93.4,92.25,0,1,1,1,0,1,0
Local,No,29.0,82.74521609790698,6,1.0,0.2,0.0,1,85.28571429,90.33333333,88.77777778,1,0,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,5,1.0,0.35,0.25,1,94.4,93.3,92.75,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,0.666666667,0.0,0.0,0,93.75,0.0,95.16666667,0,1,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.4,0.2,1,83.0,86.88888889,86.41666667,1,0,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.35,0.25,1,80.625,77.22222222,81.19444444,1,0,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,1,1.0,0.55,0.0,1,95.0,66.5,88.125,0,1,1,1,0,1,0
Local,No,35.0,82.74521609790698,6,1.0,0.35,0.25,1,86.57142857,91.0,88.63888889,1,0,1,1,0,1,0
Local,No,27.0,82.74521609790698,6,1.0,0.0,0.0,1,84.57142857,85.0,85.89189189,1,0,1,1,0,1,0
SI: Nacional,Sí,32.0,82.74521609790698,6,1.0,0.4,0.0,1,93.3,96.3,95.08333333,0,1,1,1,0,1,0
Local,No,44.0,82.74521609790698,6,1.0,0.0,0.0,1,90.25,86.0,88.66666667,0,1,1,1,0,1,0
Local,No,38.0,82.74521609790698,6,1.0,0.35,0.25,1,83.42857143,90.88888889,87.16666667,1,0,1,1,0,1,0
Local,Sí,46.0,82.74521609790698,3,1.0,0.2,0.0,1,85.5,90.44444444,87.66666667,1,0,1,1,0,0,1
Local,No,42.0,82.74521609790698,6,1.0,0.0,0.25,1,85.625,90.55555556,88.22222222,1,0,1,1,0,1,0
Local,No,46.0,82.74521609790698,5,1.0,0.3,0.2,1,89.5,98.7,94.61111111,0,1,1,1,0,1,0
Local,No,35.0,82.74521609790698,6,1.0,0.0,0.0,1,93.0,87.0,89.75,0,1,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,4,1.0,0.0,0.0,1,89.8,94.7,92.13888889,0,1,1,1,0,1,0
Local,Sí,36.0,82.74521609790698,3,1.0,0.65,0.0,1,96.0,94.5,95.58333333,0,1,1,1,0,1,0
Local,Sí,50.0,82.74521609790698,3,1.0,0.2,0.0,1,80.0,64.77777778,65.46511628,1,0,1,1,0,0,1
Local,Sí,50.0,82.74521609790698,1,1.0,0.0,0.0,1,90.9,95.2,93.80555556,0,1,1,1,0,1,0
Local,Sí,28.0,82.74521609790698,6,1.0,0.0,0.0,1,84.57142857,87.55555556,86.80555556,1,0,1,1,0,1,0
Local,No,44.0,82.74521609790698,6,1.0,0.0,0.0,1,91.5,94.0,92.0,0,1,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.0,0.0,1,86.75,92.8,90.33333333,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,3,1.0,0.2,0.0,1,78.75,92.8,86.39473684,1,0,1,1,0,0,1
Local,No,32.0,82.74521609790698,6,1.0,0.0,0.0,1,88.0,89.3,88.69444444,0,1,1,1,0,1,0
Local,No,35.0,82.74521609790698,6,1.0,0.0,0.0,0,90.25,98.0,90.57142857,0,1,1,1,0,1,0
Local,No,48.0,82.74521609790698,6,1.0,0.0,0.25,1,89.11111111,95.8,93.87878788,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.4,0.0,1,94.4,94.9,94.86111111,0,1,1,1,0,1,0
Local,Sí,40.0,82.74521609790698,1,1.0,0.65,0.0,1,96.4,96.2,96.44444444,0,1,1,1,0,1,0
Local,Sí,46.0,82.74521609790698,3,1.0,0.2,0.0,1,77.5,90.9,84.7804878,1,0,1,1,0,0,1
Local,No,46.0,82.74521609790698,5,1.0,0.0,0.0,0,82.75,0.0,81.625,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,5,1.0,0.4,0.2,1,86.42857143,89.22222222,87.5,1,0,1,1,0,1,0
SI: Nacional,No,50.0,82.74521609790698,4,1.0,0.0,0.0,1,90.8,94.6,93.38888889,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,3,1.0,0.0,0.0,1,94.6,94.8,94.72222222,0,1,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,6,1.0,0.0,0.0,1,42.5,81.875,63.65789474,1,0,1,1,0,1,0
Local,Sin información,50.0,82.74521609790698,6,1.0,0.0,0.0,1,85.75,85.0,85.72727273,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.0,0.0,0,0.0,0.0,0.0,0,1,1,1,0,1,0
Local,Sí,36.0,82.74521609790698,6,1.0,0.0,0.0,1,85.0,89.0,89.0,0,1,1,1,0,1,0
Local,No,29.0,82.74521609790698,6,1.0,0.0,0.0,0,41.5,0.0,37.0,0,1,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.1,0.0,1,91.75,86.6,89.08333333,0,1,1,1,0,1,0
Local,Sí,50.0,82.74521609790698,4,1.0,0.0,0.0,1,89.0,86.3,86.75,0,1,1,1,0,1,0
Local,No,46.0,82.74521609790698,6,1.0,0.0,0.0,1,90.0,88.0,87.0,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,0.270833333,0.0,0.0,0,82.66666667,0.0,83.2,0,1,1,1,0,1,0
Local,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,87.7,83.5,88.30555556,0,1,1,1,0,1,0
Local,No,28.0,82.74521609790698,6,1.0,0.0,0.0,1,94.66666667,96.2,95.5,0,1,1,1,0,1,0
SI: Nacional,No,36.0,82.74521609790698,6,1.0,0.0,0.0,1,86.28571429,92.2,88.94117647,1,0,1,1,0,1,0
SI: Nacional,No,38.0,82.74521609790698,6,1.0,0.2,0.2,1,88.66666667,81.0,88.75,1,0,1,1,0,1,0
SI: Nacional,No,40.0,82.74521609790698,1,1.041666667,0.550000035,0.249999953,1,75.0,92.33333333,82.78125,1,0,1,1,0,1,0
Local,No,50.0,82.74521609790698,6,1.0,0.4,0.2,1,96.125,96.44444444,95.63888889,1,0,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.4,0.0,1,93.85714286,98.125,95.3030303,1,0,1,1,0,1,0
SI: Extranjero,No,46.0,82.74521609790698,6,1.104166667,0.0,0.0,1,83.33333333,84.77777778,85.68421053,0,1,1,1,0,1,0
SI: Nacional,No,38.0,82.74521609790698,4,1.0,0.0,0.0,1,82.875,86.22222222,83.97222222,1,0,1,1,0,1,0
SI: Extranjero,Sí,30.0,82.74521609790698,3,1.0,0.0,0.0,1,87.0,95.22222222,90.55555556,0,1,1,1,0,1,0
SI: Extranjero,No,40.0,82.74521609790698,6,1.0,0.0,0.0,1,93.625,94.44444444,94.38888889,1,0,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,0.833333333,0.0,0.0,1,86.57142857,86.875,87.54545455,1,0,1,1,0,1,0
SI: Extranjero,No,32.0,82.74521609790698,6,1.0,0.5,0.0,1,97.83333333,98.16666667,98.0,0,1,1,1,0,1,0
SI: Nacional,No,31.0,82.74521609790698,6,1.0,0.0,0.0,1,93.66666667,96.66666667,96.0,0,1,1,1,0,1,0
SI: Nacional,No,35.0,82.74521609790698,6,1.0,0.0,0.0,1,87.88888889,94.9,92.16666667,0,1,1,1,0,1,0
SI: Extranjero,No,50.0,82.74521609790698,6,1.0,0.5,0.0,1,97.42857143,91.25,94.36111111,0,1,1,1,0,1,0
SI: Nacional,No,46.0,82.74521609790698,6,1.0,0.4,0.0,1,91.875,95.77777778,94.11111111,1,0,1,1,0,1,0
Local,No,47.0,82.74521609790698,6,1.0,0.0,0.0,1,91.875,91.875,92.30555556,1,0,1,1,0,1,0
Local,Sí,46.0,82.74521609790698,6,1.0,0.4,0.0,1,93.3,96.8,95.63888889,0,1,1,1,0,1,0
