Folio,Periodo,Genero,Region,Campus,Escuela,Programa_Ini,PrepaTEC,PAA,PNA,Edad,P_Beca,P_Prestamo,Life,PI,Experiencia,TOEFL,Promedio_Gr,Sueldo_Nominal,Sueldo_Real,,
LEO05LDE2445,AD20,Masculino,RO,LEO,EN,LCDE,NO,1289,78,30,0.00,,No,NO,Sí,560,85163,3000,3000,,
LEO05ARQ2448,AD20,Masculino,RO,LEO,EAAD,ARQ,SI,,,25,0.60,0.20,Si,NO,Sí,593,78938,0,0,,
MTY05IMT1051,AD20,Femenino,RM,MTY,EIC,IMT,SI,,91,25,0.15,0.15,Si,SI,Sí,667,93475,20000,20000,,
LEO05LDI2450,AD20,Masculino,RO,LEO,EAAD,LDI,SI,1561,94,25,0.80,0.00,No,NO,Sí,670,91052,8000,8000,,
LEO05IMT2452,AD20,Masculino,RO,LEO,EIC,IMT,SI,,90,24,0.20,0.20,Si,NO,Sí,567,86376,12000,12000,,
LEO05IIS2453,AD20,Masculino,RO,LEO,EIC,IIS,SI,1515,93,25,0.80,0.00,Si,NO,Sí,633,92383,18000,18000,,
LEO05LAF2461,AD20,Masculino,RO,LEO,EN,LAF,NO,1331,85,25,0.00,0.00,No,SI,Sí,537,78875,10000,10000,,
MTY05LAE1194,AD20,Masculino,RM,MTY,EN,LAE,NO,,,25,0.00,,No,SI,Sí,550,88898,20000,20000,,
LEO05LDI2466,AD20,Masculino,RO,LEO,EAAD,LDI,NO,1257,80,24,0.15,0.15,No,NO,Sí,550,89616,10000,10000,,
LEO05LDI2468,AD20,Femenino,RO,LEO,EAAD,LDI,NO,1241,82,24,0.00,0.00,No,SI,Sí,593,83569,8000,8000,,
LEO05LIN2469,AD20,Femenino,RO,LEO,EN,LIN,NO,1355,87,24,0.10,0.00,No,SI,Sí,550,94724,10000,10000,,
QROMIIA017,AD20,Masculino,RCS,QRO,EIC,IIA,NO,1300,94,27,0.00,0.00,No,NO,No,550,79573,6000,6000,,
LEO05LAE2476,AD20,Masculino,RO,LEO,EN,LAE,NO,1205,87,25,0.00,0.00,No,SI,Sí,543,81967,61000,61000,,
LEO05LMC2474,AD20,Masculino,RO,LEO,EN,LMC,SI,,,25,0.40,0.40,Si,NO,Sí,550,86032,8000,8000,,
LEO05LAF2483,AD20,Masculino,RO,LEO,EN,LAF,SI,,85,23,0.25,0.25,No,NO,Sí,550,88964,15000,15000,,
LEO05LMC2479,AD20,Masculino,RO,LEO,EN,LMC,SI,,83,24,0.40,0.00,Si,SI,Sí,593,89901,12000,12000,,
LEO05IIS2478,AD20,Masculino,RO,LEO,EIC,IIS,NO,1481,97,23,0.50,0.00,No,SI,Sí,647,93.18,20000,20000,,
LEO05LAF2487,AD20,Masculino,RO,LEO,EN,LAF,SI,1413,93,23,0.40,0.20,Si,SI,Sí,543,95928,23000,23000,,
GDA05BIE4653,AD20,Masculino,RO,GDL,EIC,IIS,SI,,90,24,0.00,0.00,No,SI,Sí,600,87115,24000,24000,,
LEO05LIN2486,AD20,Femenino,RO,LEO,EN,LIN,SI,,86,24,0.90,0.00,Si,SI,Sí,570,89824,17000,17000,,
LEO05LIN2477,AD20,Femenino,RO,LEO,EN,LIN,NO,1467,87,24,0.25,0.25,Si,SI,Sí,603,94087,15000,15000,,
LEO05LAE2493,AD20,Femenino,RO,LEO,EN,LAE,SI,1374,92,23,0.00,0.00,Si,SI,Sí,607,95232,11900,11900,,
QRO05IC2733,AD20,Masculino,RCS,QRO,EIC,IC,SI,,90,23,0.15,0.15,No,NO,Sí,550,91327,14000,14000,,
LEO05LDI2495,AD20,Femenino,RO,LEO,EAAD,LDI,SI,1523,96,24,0.60,0.00,No,SI,Sí,623,96125,12000,12000,,
LEO05LAF2496,AD20,Masculino,RO,LEO,EN,LAF,SI,1535,98,23,0.80,0.00,Si,SI,Sí,640,97.37,60000,60000,,
QRO05IC2742,AD20,Femenino,RCS,QRO,EIC,IC,SI,,86,23,0.00,0.00,No,NO,Sí,567,90.19,44000,44000,,
LEO05LAF2499,AD20,Femenino,RO,LEO,EN,LAF,SI,,89,24,0.25,0.25,Si,SI,Sí,597,95625,14000,14000,,
MTY05INT1666,AD20,Masculino,RM,MTY,EIC,INT,SI,,85,23,0.00,0.00,Si,SI,Sí,613,86916,21000,21000,,
QRO05LAE2760,AD20,Femenino,RCS,QRO,EN,LAE,SI,,83,23,0.15,0.15,Si,NO,No,550,91754,22000,22000,,
LEO05IIS2504,AD20,Masculino,RO,LEO,EIC,IIS,NO,1275,85,27,0.00,0.00,Si,SI,Sí,520,77275,4500,4500,,
LEO05LAE2506,AD20,Masculino,RO,LEO,EN,LAE,NO,1403,80,26,0.00,0.00,No,NO,Sí,607,80031,24000,24000,,
LEO05IMT2508,AD20,Masculino,RO,LEO,EIC,IMT,NO,1500,100,24,0.70,0.00,Si,SI,Sí,560,97306,0,0,,
LEO05LAF2525,AD20,Masculino,RO,LEO,EN,LAF,NO,1351,77,26,0.00,0.00,Si,SI,No respuesta,567,76942,25000,25000,,
MTY05IQA1960,AD20,Masculino,RM,MTY,EIC,IQA,NO,1431,85,26,0.40,0.40,Si,NO,Sí,550,92307,30000,30000,,
LEO05IIS2518,AD20,Masculino,RO,LEO,EIC,IIS,NO,1245,78,25,0.00,0.00,No,SI,Sí,550,82041,12000,12000,,
MTY05LAE1912,AD20,Masculino,RM,MTY,EN,LAE,NO,1256,77,26,0.00,0.00,No,SI,Sí,550,84301,14000,14000,,
LEO05LAF2522,AD20,Femenino,RO,LEO,EN,LAF,NO,1449,,24,0.00,0.00,No,SI,No,550,90948,7000,7000,,
LEO05IMT2528,AD20,Masculino,RO,LEO,EIC,IMT,NO,1380,82,24,0.00,0.00,Si,SI,No,573,89354,0,0,,
LEO05IIS2532,AD20,Femenino,RO,LEO,EIC,IIS,NO,1561,92,24,0.80,0.00,Si,SI,Sí,623,93.35,16500,16500,,
LEO05IIS2531,AD20,Femenino,RO,LEO,EIC,IIS,NO,1529,93,25,0.70,0.00,No,SI,Sí,643,93316,30000,30000,,
LEO05IIS2534,AD20,Femenino,RO,LEO,EIC,IIS,NO,,,23,0.60,0.00,Si,NO,Sí,550,93426,27500,27500,,
LEO05LAE2533,AD20,Masculino,RO,LEO,EN,LAE,NO,1307,90,25,0.45,0.25,Si,NO,Sí,607,92903,23000,23000,,
GDA05LAF4913,AD20,Femenino,RO,GDL,EN,LAF,NO,1399,85,25,0.00,0.00,No,SI,No,597,92464,15000,15000,,
LEO05LAF2536,AD20,Femenino,RO,LEO,EN,LAF,NO,1359,88,25,0.00,0.00,No,SI,Sí,603,91803,12000,12000,,
LEO05LAE2542,AD20,Femenino,RO,LEO,EN,LAE,NO,1257,81,24,0.20,0.20,No,SI,Sí,550,89948,8000,8000,,
LEO05LAF2544,AD20,Femenino,RO,LEO,EN,LAF,NO,1354,81,25,0.25,0.25,No,SI,No,607,95051,11000,11000,,
CHH05LDI2160,AD20,Femenino,RO,CHI,EAAD,LDI,SI,,74,26,0.00,0.00,No,NO,No respuesta,550,74371,16000,16000,,
CHIELDN021,AD20,Femenino,RO,CHI,EN,LDN,SI,,75,25,0.90,0.00,No,NO,Sí,550,83444,20000,20000,,
CHIEIC022,AD20,Masculino,RO,CHI,EIC,IC,SI,,,25,0.00,0.00,No,NO,No,550,80028,17650,17650,,
CHH05ARQ2176,AD20,Femenino,RO,CHI,EAAD,ARQ,SI,1305,94,24,0.50,0.00,Si,SI,Sí,580,96603,10000,10000,,
CSF05LAF341,AD20,Femenino,RCM,CSF,EN,LAF,SI,,,24,0.00,,Si,SI,No,550,80619,25000,25000,,
CHH05LAF2193,AD20,Femenino,RO,CHI,EN,LAF,SI,,83,25,0.00,0.00,No,SI,Sí,547,85163,0,0,,
CHH05ARQ2180,AD20,Masculino,RO,CHI,EAAD,ARQ,SI,,87,24,0.20,0.00,Si,SI,Sí,573,94186,14000,14000,,
CHH05ARQ2173,AD20,Femenino,RO,CHI,EAAD,ARQ,SI,,84,24,0.30,0.30,Si,SI,Sí,553,91786,10000,10000,,
CHH05LDN2174,AD20,Femenino,RO,CHI,EN,LDN,SI,,78,24,0.00,0.00,No,SI,Sí,540,82791,30000,30000,,
CHIELMC023,AD20,Femenino,RO,CHI,EN,LMC,SI,,,25,0.30,0.30,No,NO,Sí,610,77298,13000,13000,,
CHH05ARQ2179,AD20,Femenino,RO,CHI,EAAD,ARQ,SI,,83,25,0.00,0.00,Si,SI,Sí,573,89147,8000,8000,,
MTY05LEC2133,AD20,Masculino,RM,MTY,ECSG,LEC,NO,,,35,0.00,,No,NO,Sí,620,80777,111343,111343,,
MTY05IIS1325,AD20,Masculino,RM,MTY,EIC,IIS,NO,1237,84,28,0.00,,Si,NO,Sí,550,79513,14000,14000,,
MTY05LDI924,AD20,Femenino,RM,MTY,EAAD,LDI,NO,,86,26,0.00,0.00,Si,SI,Sí,550,87968,14000,14000,,
MTY05IMI916,AD20,Masculino,RM,MTY,EHE,IMI,NO,,85,27,0.00,0.00,No,NO,Sí,610,84762,16000,16000,,
MTY05ITC1753,AD20,Masculino,RM,MTY,EIC,ITC,NO,1522,97,25,0.30,0.25,Si,NO,Sí,643,87783,25000,25000,,
MTY05IME1747,AD20,Masculino,RM,MTY,EIC,IME,NO,1494,93,25,0.00,0.00,No,SI,Sí,550,78189,30000,30000,,
MTY05IMT1760,AD20,Masculino,RM,MTY,EIC,IMT,NO,1379,94,25,0.00,0.00,No,SI,Sí,637,79126,0,0,,
MTY05IMA952,AD20,Masculino,RM,MTY,EIC,IMA,NO,1326,87,26,0.00,0.00,No,NO,Sí,619,78802,7000,7000,,
MTY05IMA1151,AD20,Masculino,RM,MTY,EIC,IMA,NO,1379,95,24,0.00,0.30,No,NO,Sí,547,79895,22000,22000,,
MTY05ITC1789,AD20,Masculino,RM,MTY,EIC,ITC,NO,1385,90,25,0.15,0.35,Si,NO,Sí,550,85758,30000,30000,,
MTY05CPF1805,AD20,Masculino,RM,MTY,EN,LCPF,NO,1510,83,26,0.00,0.00,No,SI,Sí,567,75328,20400,20400,,
MTY05INT1801,AD20,Masculino,RM,MTY,EIC,INT,NO,1191,84,25,0.00,0.00,No,NO,Sí,540,82781,30000,30000,,
MTY05IBT1819,AD20,Femenino,RM,MTY,EIC,IBT,NO,1438,97,25,0.15,0.15,No,NO,Sí,550,89492,23000,23000,,
MTY05INT1827,AD20,Masculino,RM,MTY,EIC,INT,NO,,,24,0.00,,Si,SI,Sí,580,87806,21000,21000,,
MTY05IMT1861,AD20,Masculino,RM,MTY,EIC,IMT,NO,1389,86,24,0.20,0.20,No,NO,Sí,550,88.19,23000,23000,,
MTY05IC1844,AD20,Masculino,RM,MTY,EIC,IC,NO,1391,89,23,0.15,0.15,No,SI,Sí,593,86064,12000,12000,,
MTY05ITC1866,AD20,Masculino,RM,MTY,EIC,ITC,NO,1256,92,24,0.00,0.20,No,SI,Sí,580,86548,20000,20000,,
MTY05ARQ1842,AD20,Masculino,RM,MTY,EAAD,ARQ,NO,1480,94,25,0.50,0.00,No,SI,Sí,660,92714,15000,15000,,
MTY05BSD1858,AD20,Masculino,RM,MTY,EIC,IDS,NO,1416,93,25,0.00,0.00,Si,SI,Sí,600,88701,1500,1500,,
MTY05BCI1854,AD20,Femenino,RM,MTY,EIC,IQA,NO,1448,97,25,0.00,0.00,No,SI,Sí,657,91753,0,0,,
MTY05LRI1740,AD20,Femenino,RM,MTY,ECSG,LRI,NO,1279,97,24,0.15,0.15,No,SI,Sí,620,90758,25000,25000,,
MTY05IDS1835,AD20,Femenino,RM,MTY,EIC,IDS,NO,1457,93,24,0.00,0.00,Si,SI,Sí,603,85.14,15000,15000,,
MTY05IIS1888,AD20,Masculino,RM,MTY,EIC,IIS,NO,1311,90,24,0.00,0.00,Si,SI,Sí,570,81159,0,0,,
MTY05IMT1885,AD20,Masculino,RM,MTY,EIC,IMT,NO,1466,99,25,0.00,0.00,Si,NO,Sí,600,80507,17198,17198,,
MTY05ARQ1899,AD20,Femenino,RM,MTY,EAAD,ARQ,NO,1359,97,24,0.00,0.20,No,NO,Sí,550,83269,7000,7000,,
MTY05BC1856,AD20,Masculino,RM,MTY,EIC,IC,NO,,,24,0.00,,No,SI,Sí,600,93.13,30000,30000,,
MTY05IDS1840,AD20,Masculino,RM,MTY,EIC,IDS,NO,1459,91,25,0.00,0.25,No,NO,Sí,600,85147,42000,42000,,
MTY05IBT1852,AD20,Masculino,RM,MTY,EIC,IBT,NO,,,26,0.00,,No,SI,Sí,613,81628,6000,6000,,
MTY05BML1848,AD20,Masculino,RM,MTY,EIC,IME,NO,1421,95,24,0.10,0.10,Si,SI,Sí,617,94411,25000,25000,,
MTY05IMA1874,AD20,Masculino,RM,MTY,EIC,IMA,NO,1322,80,24,0.00,0.00,No,NO,Sí,550,83984,30000,30000,,
MTY05IID1887,AD20,Masculino,RM,MTY,EIC,IID,NO,,,23,0.00,,Si,NO,Sí,550,84843,22000,22000,,
MTY05ARQ1911,AD20,Femenino,RM,MTY,EAAD,ARQ,NO,1435,89,25,0.25,0.25,Si,SI,Sí,550,86475,16200,16200,,
MTY05BIE1750,AD20,Femenino,RM,MTY,EIC,IIS,NO,1417,93,25,0.10,0.10,No,SI,No,600,87705,0,0,,
MTY05BIB1900,AD20,Femenino,RM,MTY,EN,LIN,NO,1459,96,24,0.10,0.10,No,SI,Sí,600,95676,17000,17000,,
MTY05LIN1877,AD20,Masculino,RM,MTY,EN,LIN,NO,,,24,0.00,,No,SI,Sí,550,79338,149000,149000,,
LEO05IIS2513,AD20,Masculino,RO,LEO,EIC,IIS,NO,1331,80,24,0.00,0.00,No,SI,No,550,84984,20000,20000,,
MTY05ARQ1875,AD20,Femenino,RM,MTY,EAAD,ARQ,NO,1259,89,25,0.00,0.00,Si,SI,Sí,550,88409,13000,13000,,
MTY05IMT1834,AD20,Masculino,RM,MTY,EIC,IMT,NO,1224,88,24,0.20,0.20,No,SI,Sí,550,89176,23000,23000,,
MTY05IQA1907,AD20,Masculino,RM,MTY,EIC,IQA,NO,1252,81,24,0.00,0.00,No,SI,Sí,617,82.87,22000,22000,,
MTY05IDA1908,AD20,Masculino,RM,MTY,EIC,IDA,NO,1415,93,24,0.20,0.00,Si,SI,Sí,583,92827,23656,23656,,
MTY05ITC1923,AD20,Masculino,RM,MTY,EIC,ITC,NO,1316,92,24,0.00,0.00,Si,SI,Sí,550,84419,18000,18000,,
MTY05IIS1931,AD20,Masculino,RM,MTY,EIC,IIS,NO,1310,85,23,0.00,0.40,Si,SI,Sí,550,87676,0,0,,
MTY05IIS1838,AD20,Masculino,RM,MTY,EIC,IIS,NO,1334,85,24,0.00,0.00,Si,NO,No,570,84887,5800,5800,,
MTY05LRI1914,AD20,Masculino,RM,MTY,ECSG,LRI,NO,1432,98,25,0.20,0.00,Si,SI,Sí,550,91.31,17000,17000,,
MTY05IIS1921,AD20,Masculino,RM,MTY,EIC,IIS,NO,1323,85,23,0.00,0.00,No,SI,Sí,550,86552,23500,23500,,
MTY05INT1904,AD20,Masculino,RM,MTY,EIC,INT,NO,1236,82,24,0.00,0.00,No,NO,Sí,550,84734,14000,14000,,
MTY05ITC1953,AD20,Masculino,RM,MTY,EIC,ITC,NO,1316,92,25,0.25,0.25,No,SI,Sí,550,91.98,17000,17000,,
MTY05IIS1060,AD20,Femenino,RM,MTY,EIC,IIS,NO,1411,87,25,0.00,0.00,No,SI,Sí,550,83492,30150,30150,,
MTY05IQA1816,AD20,Femenino,RM,MTY,EIC,IQA,NO,1180,93,25,0.00,0.30,Si,SI,Sí,550,85791,0,0,,
MTY05IMT1169,AD20,Masculino,RM,MTY,EIC,IMT,NO,1361,77,24,0.00,0.00,No,NO,Sí,550,85123,22000,22000,,
MTY05BL1913,AD20,Masculino,RM,MTY,ECSG,LED,NO,1352,88,25,0.00,0.00,No,SI,Sí,633,86636,8000,8000,,
MTYAIID033,AD20,Masculino,RM,MTY,EIC,IID,NO,1446,88,24,0.00,0.00,No,NO,Sí,670,85105,48000,48000,,
MTY05LEC1868,AD20,Masculino,RM,MTY,ECSG,LEC,NO,1401,86,26,0.00,0.00,No,NO,Sí,550,80906,25000,25000,,
MTY05LAE1140,AD20,Masculino,RM,MTY,EN,LAE,NO,1332,87,24,0.30,0.40,Si,NO,Sí,550,90881,17500,17500,,
MTY05BCI1918,AD20,Femenino,RM,MTY,EIC,IQA,NO,1352,90,25,0.00,0.00,No,SI,Sí,600,88735,27000,27000,,
MTY05BFI1973,AD20,Masculino,RM,MTY,EN,LAF,NO,1438,90,26,0.00,0.00,Si,SI,Sí,600,91861,45000,45000,,
MTY05ISD1942,AD20,Masculino,RM,MTY,EIC,ISD,NO,1430,91,24,0.00,0.00,No,SI,Sí,640,91901,26000,26000,,
CEM05LIN4254,AD20,Femenino,RCM,CEM,EN,LIN,NO,,,24,0.25,0.35,Si,NO,Sí,550,89701,24000,24000,,
MTY05IC1924,AD20,Masculino,RM,MTY,EIC,IC,NO,1322,81,25,0.00,0.00,No,NO,Sí,550,81594,18000,18000,,
MTY05INT2005,AD20,Femenino,RM,MTY,EIC,INT,NO,1403,93,23,0.35,0.25,No,NO,Sí,550,88137,18000,18000,,
MTY05IDS2004,AD20,Masculino,RM,MTY,EIC,IDS,NO,1507,98,23,0.50,0.00,Si,NO,Sí,550,92288,13000,13000,,
MTY05IMT1987,AD20,Femenino,RM,MTY,EIC,IMT,NO,1331,94,23,0.15,0.15,Si,SI,Sí,557,90919,21000,21000,,
MTY05LEC1991,AD20,Masculino,RM,MTY,ECSG,LEC,NO,1476,98,23,1.00,0.00,Si,SI,Sí,560,92.62,24000,24000,,
MTY05LDE2002,AD20,Femenino,RM,MTY,EN,LCDE,NO,1447,96,23,0.00,0.00,No,SI,No,550,97178,10500,10500,,
MTY05LPO2008,AD20,Femenino,RM,MTY,EN,LPO,NO,1496,97,24,0.50,0.00,Si,SI,Sí,600,95627,20600,20600,,
MTY05IIS2010,AD20,Femenino,RM,MTY,EIC,IIS,NO,1496,100,24,0.50,0.00,Si,NO,Sí,600,97465,16000,16000,,
MTY05LIN1685,AD20,Femenino,RM,MTY,EN,LIN,NO,1328,88,24,0.00,0.00,No,SI,Sí,627,88892,21500,21500,,
MTY05IMA2014,AD20,Masculino,RM,MTY,EIC,IMA,NO,1420,86,24,0.00,0.00,No,NO,Sí,564,87137,19320,19320,,
MTY05CPF1998,AD20,Femenino,RM,MTY,EN,LCPF,NO,1572,99,24,0.80,0.00,Si,SI,Sí,677,98.5,23500,23500,,
MTY05IDA2024,AD20,Femenino,RM,MTY,EIC,IDA,NO,1348,97,23,0.00,0.00,No,NO,Sí,603,89483,25000,25000,,
PUE05ITC3336,AD20,Femenino,RCS,PUE,EIC,ITC,NO,,,24,0.20,0.20,Si,NO,Sí,550,88593,37000,37000,,
MTY05IMD1990,AD20,Masculino,RM,MTY,EIC,IMD,NO,1432,98,22,0.10,0.10,Si,NO,Sí,590,93813,12000,12000,,
MTY05LAF1590,AD20,Masculino,RM,MTY,EN,LAF,NO,1502,86,24,0.00,0.00,No,SI,Sí,663,89333,27000,27000,,
MTY05LED2056,AD20,Masculino,RM,MTY,ECSG,LED,NO,1260,89,24,0.00,0.00,No,SI,Sí,550,92.29,13500,13500,,
QRO05LAE2879,AD20,Femenino,RCS,QRO,EN,LAE,NO,1428,90,24,0.00,0.00,Si,SI,No,600,89932,12000,12000,,
MTY05LAF2000,AD20,Masculino,RM,MTY,EN,LAF,NO,1343,92,24,0.00,0.10,No,SI,Sí,613,89517,28000,28000,,
MTY05LDE2051,AD20,Femenino,RM,MTY,EN,LCDE,NO,1412,98,23,0.35,0.35,Si,NO,Sí,550,95375,15000,15000,,
MTY05INT2036,AD20,Femenino,RM,MTY,EIC,INT,NO,1270,91,23,0.00,0.00,No,SI,Sí,570,89.1,11500,11500,,
MTY05LEM2011,AD20,Femenino,RM,MTY,EN,LEM,NO,1266,86,24,0.00,0.00,Si,SI,Sí,597,86745,18000,18000,,
MTY05IIS2058,AD20,Femenino,RM,MTY,EIC,IIS,NO,1371,97,23,0.35,0.35,No,SI,Sí,567,95698,23500,23500,,
MTY05LEM2033,AD20,Masculino,RM,MTY,EN,LEM,NO,1355,89,22,0.00,0.00,Si,NO,Sí,550,88771,18000,18000,,
MTY05ITC1513,AD20,Masculino,RM,MTY,EIC,ITC,NO,1471,93,24,0.50,0.25,No,NO,Sí,550,92087,0,0,,
MTY05LPO2039,AD20,Femenino,RM,MTY,EN,LPO,NO,1150,86,24,0.00,0.00,No,SI,Sí,610,87789,20000,20000,,
MTY05LAE2061,AD20,Masculino,RM,MTY,EN,LAE,NO,1509,97,22,0.50,0.10,No,NO,Sí,550,95642,22000,22000,,
MTY05LDF2052,AD20,Femenino,RM,MTY,ECSG,LDF,NO,1334,95,23,0.00,0.00,No,SI,Sí,653,90824,25000,25000,,
MTY05ITC2045,AD20,Masculino,RM,MTY,EIC,ITC,NO,1438,95,22,0.00,0.00,No,NO,Sí,550,87379,20000,20000,,
MTY05LAF2059,AD20,Masculino,RM,MTY,EN,LAF,NO,1487,97,23,0.50,0.20,Si,SI,Sí,653,98446,51500,51500,,
MTY05BEP2076,AD20,Masculino,RM,MTY,EIC,IFI,NO,1515,95,24,0.50,0.20,Si,SI,Sí,600,94424,27500,27500,,
MTY05IIS2049,AD20,Masculino,RM,MTY,EIC,IIS,NO,,,26,0.00,0.20,Si,NO,Sí,550,85,25000,25000,,
MTY05CPF2060,AD20,Femenino,RM,MTY,EN,LCPF,NO,1314,96,23,0.00,0.00,Si,SI,Sí,550,90482,15000,15000,,
MTY05IQA1980,AD20,Femenino,RM,MTY,EIC,IQA,NO,1538,99,23,0.60,0.00,Si,SI,Sí,677,97803,25000,25000,,
MTY05IME2079,AD20,Masculino,RM,MTY,EIC,IME,NO,1376,96,24,0.15,0.15,Si,SI,Sí,553,93444,33000,33000,,
MTY05LPO1744,AD20,Femenino,RM,MTY,EN,LPO,NO,1350,88,22,0.80,0.00,Si,SI,Sí,550,90896,20500,20500,,
MTY05LAE2063,AD20,Femenino,RM,MTY,EN,LAE,NO,,,24,0.00,,No,SI,Sí,550,88894,16000,16000,,
MTY05IMA2040,AD20,Masculino,RM,MTY,EIC,IMA,NO,1354,94,23,0.00,0.00,No,SI,Sí,583,86459,16000,16000,,
TAM05IIS2403,AD20,Femenino,RCS,TAM,EIC,IIS,NO,1406,83,23,0.00,0.00,Si,NO,Sí,623,85.73,12000,12000,,
MTY05ISD822,AD20,Masculino,RM,MTY,EIC,ISD,NO,1475,91,23,0.50,0.30,Si,NO,Sí,550,96824,25500,25500,,
MTY05CPF1743,AD20,Masculino,RM,MTY,EN,LCPF,NO,1301,91,22,0.25,0.25,No,NO,Sí,577,92535,22000,22000,,
MTY05IID2072,AD20,Masculino,RM,MTY,EIC,IID,NO,1400,94,24,0.00,0.00,Si,SI,Sí,550,86892,60000,60000,,
