Folio,Periodo,Nivel,PrepaTEC,Escuela,Genero,Edad,Foraneo,FGS,Rubrica_CyE,PromMate,Ingles,FTE,P_Beca,P_Prestamo,HijoMilitar,Prog_Lider,Retencion1erA,Prom1erSem,Prom2doSem,Prom1erA
BBDDIBEK,AD19,Profesional,SI,EHE-EAAD,Femenino,17.94444444,Local,No,,86.5,1,1,0.25,0.25,NO,NO,1,94.4,95.83333333,95.54545455
BBDDIBFC,AD19,Profesional,SI,EN,Femenino,18.56944444,SI: Nacional,Sí,,87,7,1,0,0,NO,NO,1,91.5,89.8,90.75
BBDDIBGC,AD19,Profesional,SI,EIC,Masculino,17.68888889,Local,No,,94.5,1,1,0.7,0,NO,NO,1,94.71428571,96.22222222,95.63888889
BBDDIBGK,AD19,Profesional,SI,EN,Femenino,18.25833333,Local,No,,75,1,1,0.4,0,NO,NO,1,83.8,85,85.75
BBDDIBHF,AD19,Profesional,NO,EIC,Masculino,18.75833333,SI: Nacional,No,38,NA,5,1,0.9,0,NO,NO,1,75.5,83,79.18518519
BBDDIDCI,AD19,Profesional,SI,EN,Femenino,17.96388889,Local,No,,75,7,1,0,0,NO,NO,0,0,0,#N/A
BBDDIDCJ,AD19,Profesional,SI,EN,Masculino,17.97777778,Local,No,,87,7,1,0,0,NO,NO,1,84.77777778,88.4,86.41666667
BBDDIFIK,AD19,Profesional,NO,EIC,Masculino,18.35277778,Local,No,23,NA,6,1,0,0.25,NO,NO,1,89.28571429,94.88888889,92.05555556
BBDDIFKB,AD19,Profesional,NO,EIC,Masculino,18.87222222,Local,Sí,34,NA,6,1,0.2,0,NO,SI,1,93.85714286,96,94.5
BBDDIFKC,AD19,Profesional,NO,EIC,Femenino,18.45833333,Local,No,36,NA,3,1,0.2,0,NO,SI,1,82,88.66666667,85.02777778
BBDDIFKD,AD19,Profesional,NO,EIC,Masculino,18.2,Local,No,34,NA,5,1,0.35,0.25,NO,NO,1,88.57142857,91,90.33333333
BBDDIFKE,AD19,Profesional,NO,EN,Femenino,18.56111111,Local,Sí,31,NA,1,1,0.35,0.25,NO,NO,1,95,95.4,95.5
BBDDIFKI,AD19,Profesional,NO,EN,Masculino,18.80555556,Local,No,44,NA,2,1,0.2,0,NO,SI,1,92.1,93.7,93.94444444
BBDDIFKJ,AD19,Profesional,NO,EIC,Masculino,18.575,Local,No,40,NA,1,1,0,0,NO,NO,1,74.83333333,83.33333333,79.88571429
BBDDIFKK,AD19,Profesional,NO,EIC,Femenino,17.78333333,Local,Sí,50,NA,6,1,0.2,0,NO,SI,1,88.57142857,95.44444444,92.44444444
BBDDIGBC,AD19,Profesional,NO,EIC,Masculino,18.36111111,Local,Sí,33,NA,2,1,0.7,0,NO,NO,1,97,97.77777778,97.08333333
BBDDIGBE,AD19,Profesional,NO,EN,Masculino,18.65555556,Local,No,40,NA,4,1,0,0,NO,NO,1,85.6,86.6,86.91666667
BBDDIGBG,AD19,Profesional,NO,EIC,Masculino,17.98611111,Local,No,28,NA,6,1,0.45,0.25,NO,NO,1,91.42857143,93.11111111,92.58333333
BBDDIGBH,AD19,Profesional,NO,EN,Femenino,18.775,Local,No,50,NA,6,1,0.45,0.25,NO,NO,1,89.7,93.1,92
BBDDIGBI,AD19,Profesional,NO,EIC,Masculino,18.78888889,Local,No,26,NA,3,1,0.35,0.25,NO,NO,1,94.42857143,96.44444444,94.91666667
BBDDIGCE,AD19,Profesional,NO,EIC,Masculino,17.65,Local,No,47,NA,6,1,0.35,0.25,NO,NO,1,88,94.11111111,91.11111111
BBDDIGCF,AD19,Profesional,NO,EIC,Masculino,17.84722222,Local,Sí,35,NA,4,1,0.35,0.25,NO,NO,1,95.28571429,96.11111111,95.55555556
BBDDIGCJ,AD19,Profesional,NO,EIC,Masculino,18.71666667,Local,Sí,36,NA,2,1,0.2,0,NO,SI,1,95.14285714,97.22222222,96.25
BBDDIGDD,AD19,Profesional,NO,EIC,Masculino,18.55833333,Local,Sí,40,NA,6,1,0.55,0.25,NO,NO,1,83.28571429,94.88888889,90.11111111
BBDDIGDE,AD19,Profesional,NO,EIC,Femenino,18.86388889,Local,No,34,NA,2,1,0.2,0,NO,SI,1,86.42857143,93.22222222,90.30555556
BBDDIGDF,AD19,Profesional,NO,EN,Femenino,17.80555556,Local,No,50,NA,6,1,0.2,0,NO,SI,1,95,94.9,95.52777778
BBDDIGDG,AD19,Profesional,NO,EIC,Masculino,18.49444444,Local,No,50,NA,3,1,0.2,0,NO,SI,1,98.42857143,97.88888889,97.97222222
BBDDIGDH,AD19,Profesional,NO,EIC,Masculino,17.675,Local,No,28,NA,4,1,0.25,0.25,NO,NO,1,87.57142857,91,90.97222222
BBDDIGDI,AD19,Profesional,NO,EIC,Femenino,18.77777778,Local,No,40,NA,6,1,0.2,0,NO,SI,1,81.85714286,91.55555556,88.22222222
BBDDIGDJ,AD19,Profesional,NO,EIC,Femenino,17.92222222,Local,No,40,NA,5,1,0.25,0.25,NO,NO,1,83.57142857,94.11111111,89.69444444
BBDDIGEF,AD19,Profesional,NO,EIC,Femenino,18.86666667,Local,No,34,NA,1,1,0.35,0.25,NO,NO,1,88.28571429,94.11111111,90.77777778
BBDDIGEH,AD19,Profesional,NO,EN,Femenino,17.75,Local,No,50,NA,6,1,0,0,NO,NO,1,84.55555556,81.2,83.91666667
BBDDIGEK,AD19,Profesional,NO,EIC,Femenino,18.18611111,SI: Nacional,No,30,NA,2,1,0.35,0.25,NO,NO,1,88.42857143,93.11111111,90.61111111
BBDDIGFB,AD19,Profesional,NO,EIC,Masculino,18.06111111,Local,No,40,NA,5,1,0,0,NO,NO,1,66.16666667,66.6,68.28125
BBDDIGFG,AD19,Profesional,NO,EIC,Masculino,17.94166667,Local,No,40,NA,3,1,0.35,0.25,NO,NO,1,76,87.57142857,82.71428571
BBDDIGFH,AD19,Profesional,NO,EN,Femenino,17.68888889,Local,No,46,NA,4,1,0.2,0.2,NO,NO,0,71.5,0,76.1
BBDDIGGG,AD19,Profesional,NO,EN,Femenino,17.59444444,Local,No,40,NA,6,1,0.25,0.25,NO,NO,1,84.1,85.6,86.47222222
BBDDIGGJ,AD19,Profesional,NO,EN,Masculino,19.475,Local,No,38,NA,6,1,0,0,NO,NO,1,84.6,58.1,78.41666667
BBDDIGHB,AD19,Profesional,NO,EN,Masculino,17.75277778,Local,No,30,NA,6,1,0,0,NO,NO,1,72.5,73,73.31578947
BBDDIGHD,AD19,Profesional,NO,EN,Femenino,18.44166667,Local,No,46,NA,6,1,0,0,NO,NO,1,85.1,89.8,88.72222222
BBDDIGHE,AD19,Profesional,NO,EIC,Masculino,18.75277778,SI: Nacional,No,30,NA,3,1,0,0,NO,NO,0,64.71428571,0,69.55555556
BBDEDCJB,AD19,Profesional,SI,EN,Masculino,19.4,Local,No,,73.5,1,1,0.4,0,NO,NO,1,78,86.3,82.43243243
BBDEDDCH,AD19,Profesional,SI,EN,Femenino,18.63611111,Local,No,,87,1,1,0.55,0,NO,NO,1,94.8,96.9,95.19444444
BBDEDDCI,AD19,Profesional,SI,EN,Masculino,18.05833333,Local,No,,70.5,1,1,0,0,NO,NO,1,85.5,88.3,87.05555556
BBDEDDDF,AD19,Profesional,SI,EN,Femenino,18.86666667,SI: Nacional,Sí,,86.5,1,1,0,0,NO,NO,1,79.6,78.90909091,82.63888889
BBDEDDEC,AD19,Profesional,SI,EIC,Masculino,18.02222222,Local,No,,83,1,1,0.25,0,NO,NO,1,90.625,91,91.47222222
BBDEDDFG,AD19,Profesional,SI,EIC,Femenino,17.975,Local,No,,94.5,1,1,0.55,0.25,NO,NO,1,94.375,95.55555556,95.97222222
BBDEDDFH,AD19,Profesional,SI,EIC,Masculino,18.38055556,Local,No,,92.5,1,1,0.45,0.25,NO,NO,1,93,95.33333333,94.47222222
BBDEDDFJ,AD19,Profesional,SI,EHE-EAAD,Femenino,18.56944444,Local,No,,89.5,1,1,0,0,NO,NO,1,93.33333333,87.83333333,90.91666667
BBDEDDGH,AD19,Profesional,SI,EMCS,Femenino,18.575,SI: Nacional,Sin información,48,88.5,7,1,0,0,NO,NO,1,68,0,68
BBDEDDGJ,AD19,Profesional,SI,EIC,Masculino,18.55833333,Local,Sí,,76.5,1,1,0,0,NO,NO,1,90.375,91.22222222,90.16666667
BBDEDDHC,AD19,Profesional,SI,EN,Femenino,18.075,Local,Sin información,,72,1,1,0.3,0,NO,NO,0,41.4,0,43.33333333
BBDEDDHE,AD19,Profesional,SI,EIC,Masculino,18.56666667,Local,Sí,,77,1,1,0.3,0,NO,NO,1,86.42857143,84.55555556,86.29411765
BBDEDDHJ,AD19,Profesional,SI,EIC,Femenino,18.10555556,SI: Nacional,No,,73,1,1,0,0,NO,NO,1,73,87.625,82.58333333
BBDEDEHC,AD19,Profesional,SI,EN,Masculino,18.03333333,Local,No,,83.5,1,1,0.45,0,NO,NO,1,91.5,93.7,92.72222222
BBDJKHEH,AD19,Profesional,NO,EIC,Masculino,29.06944444,SI: Nacional,No,35,NA,6,1,0,0,NO,NO,1,95.25,95.88888889,96.38461538
BBEFFGFF,AD19,Profesional,SI,EN,Femenino,19.06388889,Local,No,,54,2,0.833333333,0,0,NO,NO,1,75.11111111,78.5,76.55555556
BBEFFGHJ,AD19,Profesional,SI,ECSG,Femenino,18.05,SI: Nacional,No,,100,7,1,0.6,0.2,NO,NO,1,96.71428571,98.5,97.33333333
BBEFFGID,AD19,Profesional,SI,EHE-EAAD,Femenino,18.09166667,Local,No,,82.5,7,1,0.9,0,NO,NO,1,95.66666667,95.5,95.58333333
BBEFFGIF,AD19,Profesional,SI,EMCS,Masculino,18.24166667,SI: Nacional,No,46,98.5,7,1,0.5,0.1,NO,NO,1,96.88888889,93.1,94.86111111
BBEFFGIG,AD19,Profesional,SI,EIC,Masculino,18.51388889,SI: Nacional,No,,91,7,1,0.5,0.2,NO,NO,0,87.5,90,87.18181818
BBEFFGJB,AD19,Profesional,NO,EIC,Masculino,18.78888889,SI: Nacional,No,40,NA,6,1,0.4,0.25,NO,NO,1,92,90,91.52777778
BBEFFGJE,AD19,Profesional,SI,EN,Femenino,18.76111111,SI: Nacional,No,,90,7,1,0,0,NO,NO,1,90.4,92.8,90.83333333
BBEFFGJF,AD19,Profesional,SI,EIC,Masculino,18.05833333,SI: Nacional,No,,88.5,7,1,0,0,NO,NO,1,87,90,87.44444444
BBEFFGJH,AD19,Profesional,SI,EIC,Masculino,18.08055556,SI: Nacional,Sí,,74.5,7,1,0,0,NO,NO,1,81.28571429,82,82.06666667
BBEFFGJI,AD19,Profesional,SI,EIC,Masculino,18.25277778,SI: Nacional,No,,85.5,7,1,0.45,0.25,NO,NO,1,92.25,93.33333333,93.05555556
BBEFFGJJ,AD19,Profesional,SI,EMCS,Masculino,18.64444444,SI: Nacional,No,46,83.5,7,1,0,0,NO,NO,1,86.55555556,87.7,87.77777778
BBEFFGJK,AD19,Profesional,SI,EIC,Masculino,18.96388889,SI: Nacional,No,,87.5,7,1,0.6,0,NO,NO,1,93.875,96.375,94.63888889
BBEFFGKD,AD19,Profesional,SI,EMCS,Masculino,18.86666667,SI: Nacional,No,42,82.5,7,1,0.4,0,NO,NO,1,91.44444444,87.2,90.97222222
BBEFFGKF,AD19,Profesional,SI,EIC,Femenino,18.64444444,SI: Nacional,Sí,,69.5,4,1,0,0,NO,NO,1,82.85714286,91.44444444,89.33333333
BBEFFGKG,AD19,Profesional,SI,EIC,Masculino,18.89722222,SI: Nacional,Sí,,74,7,1,0.1,0,NO,NO,1,84.14285714,80.44444444,81.44444444
BBEFFHBJ,AD19,Profesional,SI,EN,Femenino,17.925,Local,Sin información,,62,1,1,0,0,NO,NO,1,79.5,73.66666667,78.9
BBEFFHCE,AD19,Profesional,SI,EHE-EAAD,Masculino,18.01666667,SI: Nacional,No,,66.5,7,1,0,0,NO,NO,1,90.33333333,94.66666667,92.5
BBEFFHCG,AD19,Profesional,SI,EN,Femenino,18.5,SI: Nacional,No,,74.5,7,1,0,0,NO,NO,1,93,90.9,91.86111111
BBEFFHDH,AD19,Profesional,SI,EIC,Masculino,18.48888889,SI: Nacional,Sí,,57,7,1,0,0,NO,NO,0,83,0,84
BBEFFHDI,AD19,Profesional,SI,EHE-EAAD,Masculino,18.47777778,Local,No,,63.5,7,1,0,0,SI,NO,1,84,80.66666667,82.33333333
BBEFFHDJ,AD19,Profesional,SI,EAAD-EIC,Femenino,17.96944444,SI: Nacional,No,,88.5,7,1,0,0,SI,NO,1,91.85714286,95.625,93.44444444
BBEFFHEE,AD19,Profesional,SI,EIC,Masculino,17.775,SI: Nacional,No,,72.5,7,1,0,0,NO,NO,1,79.375,79.66666667,77.91666667
BBEFFHEF,AD19,Profesional,SI,EN,Femenino,18.18333333,SI: Nacional,No,,77.5,4,1,0.45,0.25,NO,NO,1,88.1,90.7,89.27777778
BBEHJJGJ,AD19,Profesional,SI,EN,Masculino,20.80833333,SI: Nacional,No,,81.5,1,1,0,0,NO,NO,1,89.6,95.6,92.55555556
BBEHKHGH,AD19,Profesional,SI,EAAD-EIC,Femenino,18.125,SI: Nacional,No,,87.5,1,1,0.25,0.25,NO,NO,1,94.57142857,95,95.11111111
BBEHKHGK,AD19,Profesional,SI,EHE-EAAD,Masculino,18.61666667,SI: Nacional,No,,96,1,1,0,0,NO,NO,1,92.5,91.5,92
BBEHKHHB,AD19,Profesional,SI,EIC,Femenino,18.27777778,SI: Nacional,No,,92.5,1,1,0.5,0,NO,NO,1,81,90.66666667,86.25
BBEHKHHE,AD19,Profesional,SI,EIC,Femenino,18.11666667,SI: Nacional,No,,82.5,1,1,0.25,0.25,NO,NO,1,92.25,93.66666667,92.19444444
BBEHKHHF,AD19,Profesional,SI,EIC,Masculino,18.14444444,SI: Nacional,No,,79.5,7,1,0.9,0,NO,NO,1,81.75,85.11111111,84.58333333
BBEHKHIE,AD19,Profesional,SI,EIC,Masculino,18.88333333,SI: Nacional,No,,100,1,1,0.5,0,NO,NO,1,97,98.44444444,97.5
BBEHKHIF,AD19,Profesional,SI,EN,Masculino,18.11111111,Local,No,,77.5,4,1,0,0.25,NO,NO,1,87.55555556,93.1,90.08333333
BBEHKHIJ,AD19,Profesional,SI,EIC,Masculino,18.20833333,Local,No,,73,1,0.875,0.150000041,0,NO,NO,1,88.5,87.77777778,88.05555556
BBEHKHJJ,AD19,Profesional,SI,EIC,Femenino,18.25277778,Local,No,,83,1,1,0.45,0.25,NO,NO,1,88.125,88.77777778,87.38888889
BBEHKHKF,AD19,Profesional,SI,EN,Masculino,18.25833333,Local,Sin información,,87,1,1,0.05,0,NO,NO,1,91.8,94.4,93.05555556
BBEHKHKG,AD19,Profesional,SI,EIC,Masculino,18.70277778,Local,No,,78.5,1,1,0,0,NO,NO,1,89.5,85.11111111,86.38888889
BBEHKHKH,AD19,Profesional,SI,EN,Masculino,19.1,SI: Nacional,No,,87.5,1,1,0.4,0.1,NO,NO,1,93.1,93.66666667,93.19444444
BBEHKIBK,AD19,Profesional,SI,EN,Masculino,18.43055556,SI: Nacional,No,,71,1,1,0,0,NO,NO,0,86.5,0,88.16666667
BBEHKICJ,AD19,Profesional,SI,EIC,Masculino,17.93333333,Local,No,,84.5,1,1,0,0,NO,NO,1,96.5,93.125,95.38888889
BBEHKJDD,AD19,Profesional,SI,EIC,Masculino,19.34166667,SI: Nacional,No,,72,5,0.833333333,0,0,NO,NO,0,81,0,84
BBEHKKEI,AD19,Profesional,SI,EN,Femenino,18.65833333,SI: Nacional,No,,71.5,1,1,0.9,0,NO,NO,1,90.88888889,91.22222222,89.87878788
BBEKFEBG,AD19,Profesional,SI,EHE-EAAD,Masculino,30.58611111,Local,No,,81,3,1,0,0,NO,NO,1,91.83333333,86,88.91666667
BBEKKJEH,AD19,Profesional,NO,EN,Masculino,23.04722222,Local,Sin información,31,NA,6,1,0,0,NO,NO,1,89.4,89.88888889,89.91666667
BBGCHFFD,AD19,Profesional,SI,ECSG,Masculino,23.08611111,SI: Nacional,Sin información,,78,6,0.666666667,0,0,NO,NO,1,82.25,93.5,87.875
BBGCICFB,AD19,Profesional,SI,EIC,Masculino,17.72777778,SI: Nacional,No,,99,7,1,0.4,0.25,NO,NO,1,93.28571429,92.44444444,93.44444444
BBGCICFC,AD19,Profesional,SI,EIC,Masculino,17.97222222,SI: Nacional,No,,97.5,7,1,0.25,0.25,NO,NO,1,93.125,93.11111111,92.36111111
BBGCICFD,AD19,Profesional,SI,EMCS,Femenino,17.69444444,SI: Nacional,No,,92,4,1.104166667,0.2,0.2,NO,NO,1,86.58333333,94.3,92.65789474
BBGCICFE,AD19,Profesional,SI,EAAD-EIC,Masculino,18.40555556,SI: Nacional,No,,91.5,4,1,0.15,0,NO,NO,1,92.14285714,88.5,89.44444444
BBGCICFG,AD19,Profesional,SI,EN,Femenino,19.06944444,SI: Nacional,No,,100,7,1,0.5,0,NO,NO,1,97.55555556,98.2,97.25
BBGCICFK,AD19,Profesional,SI,EIC,Masculino,17.86666667,SI: Nacional,No,,96.5,7,1,0.25,0.25,NO,NO,1,92,95.77777778,93.16666667
BBGCICGC,AD19,Profesional,SI,EIC,Masculino,17.99166667,SI: Nacional,No,,96.5,7,1,0,0,NO,NO,1,90.28571429,89.66666667,89.38888889
BBGCICGE,AD19,Profesional,NO,EIC,Masculino,17.98888889,SI: Nacional,No,37,NA,6,1,0.4,0.25,NO,NO,1,88.57142857,86.375,87.16666667
BBGCICGH,AD19,Profesional,SI,EMCS,Femenino,18.04166667,SI: Nacional,Sí,,92.5,7,1,0.25,0.25,NO,NO,1,81.66666667,87.22222222,88.67567568
BBGCICHB,AD19,Profesional,SI,EAAD-EIC,Femenino,18.98888889,SI: Nacional,Sí,,74.5,3,1,0,0,NO,NO,1,82.57142857,85,83.91666667
BBGCICHC,AD19,Profesional,SI,EHE-EAAD,Femenino,18.475,SI: Nacional,No,,91,7,1,0.2,0.2,NO,NO,1,93.66666667,92.4,93.66666667
BBGCICHH,AD19,Profesional,SI,ECSG,Masculino,18.75833333,SI: Nacional,No,,94.5,7,1,0,0,NO,NO,1,93.85714286,92.875,93.02777778
BBGCICHI,AD19,Profesional,SI,EIC,Femenino,18.40277778,Local,No,,88,7,1,0,0,NO,NO,1,88.57142857,88.44444444,89.16666667
